"","duration","sdate","sstation","edate","estation","bikeno","client"
"174191","0h 24m 12s",2014-10-18 16:24:00,"Maryland & Independence Ave SW",2014-10-18 16:48:00,"Constitution Ave & 2nd St NW/DOL","W00119","Casual"
"572255","0h 8m 36s",2014-12-13 19:27:00,"MLK Library/9th & G St NW",2014-12-13 19:36:00,"19th St & Pennsylvania Ave NW","W21339","Registered"
"112333","0h 16m 11s",2014-10-12 10:11:00,"21st St & Constitution Ave NW",2014-10-12 10:27:00,"Columbus Circle / Union Station","W21279","Registered"
"247943","0h 11m 17s",2014-10-26 18:16:00,"Clarendon Blvd & N Fillmore St",2014-10-26 18:27:00,"Arlington Blvd & N Queen St","W01459","Registered"
"436044","0h 2m 49s",2014-11-18 18:10:00,"Ballenger Ave & Dulaney St",2014-11-18 18:13:00,"King St Metro","W00600","Registered"
"630122","2h 23m 33s",2014-12-26 13:48:00,"6th St & Indiana Ave NW",2014-12-26 16:12:00,"6th St & Indiana Ave NW","W00536","Casual"
"173410","0h 28m 11s",2014-10-18 15:38:00,"New Hampshire Ave & T St NW",2014-10-18 16:06:00,"Gallaudet / 8th St & Florida Ave NE","W20055","Registered"
"329698","0h 2m 58s",2014-11-04 18:47:00,"Columbus Circle / Union Station",2014-11-04 18:50:00,"8th & F St NE","W20118","Registered"
"3995","0h 13m 53s",2014-10-01 13:58:00,"25th St & Pennsylvania Ave NW",2014-10-01 14:12:00,"14th St & New York Ave NW","W21607","Casual"
"375815","0h 14m 30s",2014-11-10 11:46:00,"14th St & Spring Rd NW",2014-11-10 12:00:00,"15th & K St NW","W01456","Registered"
"162541","0h 9m 10s",2014-10-17 17:17:00,"4th & E St SW",2014-10-17 17:26:00,"North Capitol St & F St NW","W21640","Registered"
"326557","0h 29m 18s",2014-11-04 15:12:00,"3rd & D St SE",2014-11-04 15:42:00,"18th St & Rhode Island Ave NE","W21561","Registered"
"448506","0h 12m 13s",2014-11-20 17:49:00,"18th St & Pennsylvania Ave NW",2014-11-20 18:01:00,"5th St & Massachusetts Ave NW","W00088","Registered"
"64188","0h 3m 7s",2014-10-06 21:06:00,"Potomac & Pennsylvania Ave SE",2014-10-06 21:10:00,"Eastern Market Metro / Pennsylvania Ave & 7th St SE","W21252","Registered"
"412861","0h 5m 47s",2014-11-14 13:04:00,"15th & L St NW",2014-11-14 13:10:00,"19th & L St NW","W20660","Registered"
"380156","0h 9m 20s",2014-11-10 18:38:00,"3rd & D St SE",2014-11-10 18:47:00,"14th & D St SE","W00868","Registered"
"376738","1h 25m 57s",2014-11-10 14:00:00,"Massachusetts Ave & Dupont Circle NW",2014-11-10 15:26:00,"Massachusetts Ave & Dupont Circle NW","W01059","Casual"
"477707","0h 18m 1s",2014-11-25 00:41:00,"15th & L St NW",2014-11-25 00:59:00,"3rd & G St SE","W21904","Registered"
"251694","0h 3m 27s",2014-10-27 08:55:00,"Columbus Circle / Union Station",2014-10-27 08:59:00,"6th & H St NE","W20151","Registered"
"229595","1h 11m 27s",2014-10-25 10:40:00,"Eckington Pl & Q St NE",2014-10-25 11:51:00,"14th & D St NW / Ronald Reagan Building","W00494","Casual"
"564626","0h 15m 5s",2014-12-12 16:26:00,"8th & D St NW",2014-12-12 16:41:00,"6th & Water St SW / SW Waterfront","W00044","Registered"
"102613","0h 25m 42s",2014-10-10 17:04:00,"6th St & Indiana Ave NW",2014-10-10 17:30:00,"25th St & Pennsylvania Ave NW","W00812","Registered"
"483125","0h 3m 32s",2014-11-25 17:14:00,"6th & H St NE",2014-11-25 17:18:00,"3rd & H St NE","W20230","Registered"
"142575","0h 7m 15s",2014-10-15 17:23:00,"New Hampshire Ave & 24th St NW",2014-10-15 17:31:00,"C & O Canal & Wisconsin Ave NW","W00258","Registered"
"631227","0h 8m 42s",2014-12-26 17:21:00,"20th St & Florida Ave NW",2014-12-26 17:29:00,"14th & R St NW","W00850","Registered"
"15985","1h 9m 58s",2014-10-02 15:10:00,"Lincoln Memorial",2014-10-02 16:20:00,"Washington & Independence Ave SW/HHS","W20104","Casual"
"362291","0h 4m 15s",2014-11-08 16:38:00,"14th & D St SE",2014-11-08 16:42:00,"15th & East Capitol St NE","W20007","Registered"
"49796","0h 20m 2s",2014-10-05 15:17:00,"River Rd & Landy Ln",2014-10-05 15:37:00,"River Rd & Landy Ln","W00893","Casual"
"512443","0h 2m 36s",2014-12-03 14:04:00,"17th St & Massachusetts Ave NW",2014-12-03 14:06:00,"17th & K St NW","W00238","Registered"
"351227","0h 11m 2s",2014-11-07 10:30:00,"7th & T St NW",2014-11-07 10:41:00,"11th & F St NW","W21250","Registered"
"255182","0h 34m 19s",2014-10-27 16:21:00,"Georgia Ave and Fairmont St NW",2014-10-27 16:55:00,"20th & E St NW","W20678","Registered"
"160495","0h 4m 41s",2014-10-17 14:57:00,"20th St & Florida Ave NW",2014-10-17 15:02:00,"Massachusetts Ave & Dupont Circle NW","W20710","Registered"
"1051","0h 5m 20s",2014-10-01 08:05:00,"24th & N St NW",2014-10-01 08:11:00,"23rd & E St NW ","W01113","Registered"
"519344","0h 15m 18s",2014-12-04 12:01:00,"New York Ave & 15th St NW",2014-12-04 12:17:00,"New Hampshire Ave & 24th St NW","W20356","Registered"
"92948","0h 16m 5s",2014-10-09 17:29:00,"12th & L St NW",2014-10-09 17:45:00,"Calvert St & Woodley Pl NW","W20513","Registered"
"112254","0h 17m 30s",2014-10-12 10:04:00,"N Adams St & Lee Hwy",2014-10-12 10:22:00,"Iwo Jima Memorial/N Meade & 14th St N","W20871","Casual"
"167536","0h 11m 20s",2014-10-18 08:21:00,"14th & R St NW",2014-10-18 08:32:00,"Park Rd & Holmead Pl NW","W21163","Registered"
"359146","0h 8m 2s",2014-11-08 12:01:00,"14th & V St NW",2014-11-08 12:09:00,"17th St & Massachusetts Ave NW","W21313","Registered"
"538437","0h 7m 51s",2014-12-08 07:27:00,"Potomac & Pennsylvania Ave SE",2014-12-08 07:35:00,"3rd & G St SE","W20673","Registered"
"123296","0h 25m 23s",2014-10-13 14:34:00,"Ohio Dr & West Basin Dr SW / MLK & FDR Memorials",2014-10-13 14:59:00,"14th St & New York Ave NW","W00779","Casual"
"511356","0h 16m 0s",2014-12-03 09:24:00,"15th & East Capitol St NE",2014-12-03 09:40:00,"5th & F St NW","W01383","Registered"
"157014","0h 5m 7s",2014-10-17 09:02:00,"25th St & Pennsylvania Ave NW",2014-10-17 09:07:00,"23rd & E St NW ","W20452","Registered"
"382192","0h 16m 35s",2014-11-11 05:12:00,"Georgia & New Hampshire Ave NW",2014-11-11 05:29:00,"34th & Water St NW","W00897","Registered"
"35750","0h 8m 9s",2014-10-04 11:26:00,"1st & Rhode Island Ave NW",2014-10-04 11:34:00,"Convention Center / 7th & M St NW","W21468","Registered"
"162471","0h 21m 42s",2014-10-17 17:14:00,"8th & D St NW",2014-10-17 17:35:00,"4th & M St SW","W20635","Registered"
"373718","0h 5m 36s",2014-11-10 08:01:00,"New Hampshire Ave & T St NW",2014-11-10 08:06:00,"14th & V St NW","W01080","Registered"
"259526","0h 13m 58s",2014-10-27 20:54:00,"14th & R St NW",2014-10-27 21:08:00,"Wisconsin Ave & O St NW","W20331","Registered"
"150037","0h 13m 6s",2014-10-16 16:52:00,"19th St & Pennsylvania Ave NW",2014-10-16 17:06:00,"7th & R St NW / Shaw Library","W20467","Registered"
"185014","0h 11m 55s",2014-10-19 19:07:00,"North Capitol St & F St NW",2014-10-19 19:19:00,"Eckington Pl & Q St NE","W00690","Registered"
"235546","0h 27m 56s",2014-10-25 16:36:00,"12th & U St NW",2014-10-25 17:04:00,"12th & Irving St NE","W01286","Registered"
"515538","0h 12m 4s",2014-12-03 19:53:00,"25th St & Pennsylvania Ave NW",2014-12-03 20:05:00,"Lynn & 19th St North","W00703","Registered"
"482732","0h 21m 25s",2014-11-25 16:48:00,"US Dept of State / Virginia Ave & 21st St NW",2014-11-25 17:09:00,"New Jersey Ave & N St NW/Dunbar HS","W20621","Registered"
"266200","0h 13m 34s",2014-10-28 16:10:00,"15th & P St NW",2014-10-28 16:24:00,"24th & N St NW","W20063","Registered"
"462483","0h 7m 3s",2014-11-22 21:56:00,"13th & H St NE",2014-11-22 22:03:00,"Columbus Circle / Union Station","W21722","Registered"
"598597","0h 4m 11s",2014-12-17 19:42:00,"14th & G St NW",2014-12-17 19:46:00,"Thomas Circle","W21403","Registered"
"387332","0h 6m 57s",2014-11-11 15:10:00,"4th & East Capitol St NE",2014-11-11 15:17:00,"Eastern Market Metro / Pennsylvania Ave & 7th St SE","W20803","Registered"
"395259","0h 4m 42s",2014-11-12 08:44:00,"4th & E St SW",2014-11-12 08:49:00,"Constitution Ave & 2nd St NW/DOL","W20009","Registered"
"334088","0h 10m 44s",2014-11-05 08:52:00,"Thomas Circle",2014-11-05 09:03:00,"1st & M St NE","W01134","Registered"
"56547","0h 17m 12s",2014-10-06 09:16:00,"36th & Calvert St NW / Glover Park",2014-10-06 09:33:00,"Thomas Circle","W21659","Casual"
"477987","0h 6m 18s",2014-11-25 06:45:00,"12th & L St NW",2014-11-25 06:51:00,"17th & Rhode Island Ave NW","W20444","Registered"
"20202","0h 9m 49s",2014-10-02 19:14:00,"14th & Rhode Island Ave NW",2014-10-02 19:23:00,"12th & U St NW","W20463","Casual"
"201502","0h 32m 51s",2014-10-21 17:38:00,"1st & M St NE",2014-10-21 18:11:00,"14th & Upshur St NW","W21261","Registered"
"352422","0h 13m 31s",2014-11-07 13:26:00,"17th & G St NW",2014-11-07 13:40:00,"17th & G St NW","W20980","Registered"
"114020","1h 30m 49s",2014-10-12 12:20:00,"21st & M St NW",2014-10-12 13:51:00,"8th & H St NW","W21613","Casual"
"229846","0h 4m 5s",2014-10-25 10:58:00,"Clarendon Blvd & N Fillmore St",2014-10-25 11:02:00,"N Adams St & Lee Hwy","W21446","Registered"
"471018","0h 36m 53s",2014-11-24 10:56:00,"Smithsonian / Jefferson Dr & 12th St SW",2014-11-24 11:33:00,"Lincoln Memorial","W20980","Casual"
"286492","0h 19m 12s",2014-10-30 15:39:00,"1st & K St SE",2014-10-30 15:58:00,"Metro Center / 12th & G St NW","W20211","Registered"
"43873","11h 41m 56s",2014-10-04 22:04:00,"Independence Ave & L'Enfant Plaza SW/DOE",2014-10-05 09:46:00,"Jefferson Memorial","W21713","Casual"
"202953","0h 11m 51s",2014-10-21 22:02:00,"8th & H St NW",2014-10-21 22:14:00,"13th & H St NE","W20287","Registered"
"121997","0h 23m 29s",2014-10-13 09:47:00,"4th & M St SW",2014-10-13 10:11:00,"19th & East Capitol St SE","W20339","Registered"
"568201","0h 2m 30s",2014-12-13 10:15:00,"Lincoln Park / 13th & East Capitol St NE ",2014-12-13 10:17:00,"13th & D St NE","W21173","Registered"
"122238","0h 7m 44s",2014-10-13 10:40:00,"Columbia Rd & Georgia Ave NW",2014-10-13 10:48:00,"14th & V St NW","W21137","Registered"
"190502","0h 9m 32s",2014-10-20 15:22:00,"M St & New Jersey Ave SE",2014-10-20 15:31:00,"Potomac & Pennsylvania Ave SE","W20444","Registered"
"371500","0h 15m 3s",2014-11-09 18:31:00,"15th & P St NW",2014-11-09 18:46:00,"23rd & E St NW ","W20950","Registered"
"107547","0h 6m 53s",2014-10-11 15:02:00,"14th & Harvard St NW",2014-10-11 15:09:00,"Adams Mill & Columbia Rd NW","W00419","Registered"
"294306","1h 27m 0s",2014-10-31 10:15:00,"Massachusetts Ave & Dupont Circle NW",2014-10-31 11:42:00,"Prince St & Union St","W20940","Casual"
"172615","0h 5m 29s",2014-10-18 14:50:00,"18th St & Wyoming Ave NW",2014-10-18 14:56:00,"17th & Corcoran St NW","W20904","Registered"
"421467","0h 27m 32s",2014-11-15 17:22:00,"11th & Kenyon St NW",2014-11-15 17:49:00,"M St & Pennsylvania Ave NW","W01354","Casual"
"461733","0h 6m 58s",2014-11-22 18:31:00,"Massachusetts Ave & Dupont Circle NW",2014-11-22 18:38:00,"18th St & Wyoming Ave NW","W20466","Registered"
"481363","0h 8m 57s",2014-11-25 13:30:00,"21st St & Constitution Ave NW",2014-11-25 13:39:00,"22nd & I St NW / Foggy Bottom","W01277","Casual"
"392872","0h 11m 39s",2014-11-11 23:12:00,"North Capitol St & F St NW",2014-11-11 23:23:00,"17th & Corcoran St NW","W01168","Registered"
"580642","0h 23m 49s",2014-12-15 09:45:00,"New Jersey Ave & R St NW",2014-12-15 10:09:00,"Constitution Ave & 2nd St NW/DOL","W20481","Registered"
"15568","0h 8m 16s",2014-10-02 14:18:00,"14th & R St NW",2014-10-02 14:26:00,"17th & K St NW / Farragut Square","W21186","Registered"
"553414","0h 13m 29s",2014-12-10 20:00:00,"US Dept of State / Virginia Ave & 21st St NW",2014-12-10 20:13:00,"11th & M St NW","W21541","Casual"
"563356","0h 3m 39s",2014-12-12 12:41:00,"5th & F St NW",2014-12-12 12:45:00,"5th & K St NW","W20882","Registered"
"476140","0h 8m 53s",2014-11-24 19:20:00,"5th St & Massachusetts Ave NW",2014-11-24 19:29:00,"15th & K St NW","W21613","Registered"
"564838","0h 9m 26s",2014-12-12 16:50:00,"12th & L St NW",2014-12-12 16:59:00,"North Capitol St & F St NW","W21602","Registered"
"516779","0h 7m 47s",2014-12-04 06:43:00,"20th St & Florida Ave NW",2014-12-04 06:51:00,"M St & Pennsylvania Ave NW","W01024","Registered"
"126275","0h 14m 59s",2014-10-13 19:35:00,"8th & D St NW",2014-10-13 19:50:00,"6th & Water St SW / SW Waterfront","W00629","Registered"
"294535","0h 5m 59s",2014-10-31 10:55:00,"Massachusetts Ave & Dupont Circle NW",2014-10-31 11:01:00,"20th St & Florida Ave NW","W21189","Registered"
"626261","0h 16m 22s",2014-12-24 09:48:00,"15th St & Massachusetts Ave SE",2014-12-24 10:05:00,"Columbus Circle / Union Station","W20588","Registered"
"434798","0h 15m 14s",2014-11-18 15:35:00,"17th & Rhode Island Ave NW",2014-11-18 15:50:00,"8th & F St NE","W01201","Registered"
"230789","0h 16m 21s",2014-10-25 12:00:00,"Adams Mill & Columbia Rd NW",2014-10-25 12:17:00,"12th & L St NW","W00246","Registered"
"320657","0h 14m 6s",2014-11-03 19:37:00,"3000 Connecticut Ave NW / National Zoo",2014-11-03 19:51:00,"14th & Belmont St NW","W00793","Registered"
"86656","0h 22m 6s",2014-10-09 07:38:00,"4th & W St NE",2014-10-09 08:00:00,"15th & K St NW","W21603","Registered"
"368431","0h 3m 2s",2014-11-09 14:01:00,"14th & R St NW",2014-11-09 14:04:00,"15th & P St NW","W00729","Registered"
"178381","0h 14m 56s",2014-10-19 08:01:00,"1st & M St NE",2014-10-19 08:16:00,"Hamlin & 7th St NE","W20232","Registered"
"284059","0h 14m 46s",2014-10-30 09:37:00,"Adams Mill & Columbia Rd NW",2014-10-30 09:51:00,"24th & N St NW","W01131","Registered"
"613301","0h 33m 35s",2014-12-20 13:09:00,"Georgia & New Hampshire Ave NW",2014-12-20 13:43:00,"20th & O St NW / Dupont South","W21716","Casual"
"556674","0h 2m 55s",2014-12-11 11:57:00,"21st St & Pennsylvania Ave NW",2014-12-11 12:00:00,"18th & M St NW","W01087","Registered"
"89292","0h 10m 50s",2014-10-09 11:25:00,"Jefferson Dr & 14th St SW",2014-10-09 11:36:00,"Lincoln Memorial","W20574","Registered"
"54057","0h 25m 3s",2014-10-06 00:05:00,"Georgetown Harbor / 30th St NW",2014-10-06 00:30:00,"4th & M St SW","W00579","Registered"
"296618","0h 1m 49s",2014-10-31 15:09:00,"19th St & Constitution Ave NW",2014-10-31 15:11:00,"US Dept of State / Virginia Ave & 21st St NW","W21052","Registered"
"359173","0h 6m 17s",2014-11-08 12:04:00,"3rd & D St SE",2014-11-08 12:11:00,"Eastern Market / 7th & North Carolina Ave SE","W20290","Registered"
"651905","0h 12m 22s",2014-12-31 14:43:00,"9th & Upshur St NW",2014-12-31 14:55:00,"14th & V St NW","W21942","Registered"
"24427","0h 13m 6s",2014-10-03 08:28:00,"D St & Maryland Ave NE",2014-10-03 08:41:00,"8th & H St NW","W20374","Registered"
"120221","0h 4m 53s",2014-10-12 21:22:00,"14th & Harvard St NW",2014-10-12 21:27:00,"Adams Mill & Columbia Rd NW","W00094","Registered"
"504256","0h 4m 48s",2014-12-01 14:31:00,"24th & N St NW",2014-12-01 14:35:00,"20th & O St NW / Dupont South","W20578","Registered"
"590701","0h 2m 49s",2014-12-16 18:39:00,"Columbus Circle / Union Station",2014-12-16 18:42:00,"3rd & H St NE","W21155","Registered"
"237994","0h 5m 35s",2014-10-25 19:47:00,"4th & M St SW",2014-10-25 19:52:00,"3rd & Tingey St SE","W20431","Registered"
"120855","0h 11m 45s",2014-10-13 05:53:00,"S Troy St & 26th St S",2014-10-13 06:05:00,"Pentagon City Metro / 12th & S Hayes St","W20798","Registered"
"150221","0h 13m 45s",2014-10-16 17:03:00,"10th & E St NW",2014-10-16 17:17:00,"New Hampshire Ave & T St NW","W00623","Registered"
"138083","0h 22m 2s",2014-10-14 22:19:00,"17th & Rhode Island Ave NW",2014-10-14 22:41:00,"Columbus Circle / Union Station","W20653","Casual"
"571123","0h 5m 14s",2014-12-13 16:16:00,"11th & M St NW",2014-12-13 16:21:00,"11th & M St NW","W21574","Registered"
"204727","0h 3m 1s",2014-10-22 17:13:00,"18th St & Pennsylvania Ave NW",2014-10-22 17:16:00,"New York Ave & 15th St NW","W01496","Registered"
"653010","0h 11m 25s",2014-12-31 17:38:00,"Takoma Metro",2014-12-31 17:49:00,"Fenton St & Gist Ave","W00359","Registered"
"172526","0h 19m 13s",2014-10-18 14:45:00,"Calvert & Biltmore St NW",2014-10-18 15:05:00,"3rd & Elm St NW","W20231","Registered"
"515098","0h 9m 23s",2014-12-03 18:58:00,"17th & K St NW",2014-12-03 19:08:00,"24th & N St NW","W20904","Registered"
"327488","0h 4m 27s",2014-11-04 16:49:00,"20th & L St NW",2014-11-04 16:54:00,"25th St & Pennsylvania Ave NW","W01293","Registered"
"408114","0h 3m 33s",2014-11-13 17:44:00,"Columbus Circle / Union Station",2014-11-13 17:48:00,"D St & Maryland Ave NE","W20518","Registered"
"113577","0h 30m 27s",2014-10-12 11:51:00,"Washington & Independence Ave SW/HHS",2014-10-12 12:21:00,"Eastern Market Metro / Pennsylvania Ave & 7th St SE","W20119","Registered"
"504177","0h 6m 44s",2014-12-01 14:14:00,"15th & P St NW",2014-12-01 14:20:00,"14th & V St NW","W21618","Casual"
"210042","0h 4m 27s",2014-10-23 09:43:00,"25th St & Pennsylvania Ave NW",2014-10-23 09:47:00,"21st & I St NW","W20210","Registered"
"432413","0h 9m 6s",2014-11-18 07:48:00,"Columbus Circle / Union Station",2014-11-18 07:57:00,"4th & E St SW","W00422","Registered"
"125840","0h 7m 30s",2014-10-13 18:52:00,"New Hampshire Ave & T St NW",2014-10-13 19:00:00,"21st & I St NW","W21546","Casual"
"431230","0h 6m 31s",2014-11-17 20:20:00,"17th & Corcoran St NW",2014-11-17 20:26:00,"14th & Belmont St NW","W01355","Registered"
"377555","0h 4m 52s",2014-11-10 15:43:00,"Massachusetts Ave & Dupont Circle NW",2014-11-10 15:48:00,"New Hampshire Ave & 24th St NW","W20699","Registered"
"144342","0h 7m 23s",2014-10-15 22:27:00,"37th & O St NW / Georgetown University",2014-10-15 22:34:00,"25th St & Pennsylvania Ave NW","W21141","Registered"
"365435","0h 5m 40s",2014-11-09 09:12:00,"14th & Harvard St NW",2014-11-09 09:18:00,"14th & R St NW","W00992","Registered"
"96077","0h 2m 26s",2014-10-09 20:45:00,"6th & H St NE",2014-10-09 20:48:00,"8th & F St NE","W21676","Registered"
"72618","0h 16m 51s",2014-10-07 18:23:00,"19th St & Pennsylvania Ave NW",2014-10-07 18:40:00,"14th & Harvard St NW","W20643","Registered"
"356795","0h 10m 15s",2014-11-07 22:24:00,"Clarendon Blvd & N Fillmore St",2014-11-07 22:34:00,"N Quincy St & Glebe Rd","W00789","Registered"
"27706","0h 13m 9s",2014-10-03 13:53:00,"5th & K St NW",2014-10-03 14:06:00,"17th & Rhode Island Ave NW","W00394","Registered"
"443082","0h 8m 52s",2014-11-19 21:34:00,"37th & O St NW / Georgetown University",2014-11-19 21:43:00,"24th & N St NW","W20627","Registered"
"425678","0h 20m 6s",2014-11-16 14:27:00,"US Dept of State / Virginia Ave & 21st St NW",2014-11-16 14:47:00,"Lincoln Memorial","W20841","Casual"
"102118","0h 23m 33s",2014-10-10 16:13:00,"17th & G St NW",2014-10-10 16:37:00,"23rd & E St NW ","W01465","Casual"
"439137","0h 5m 7s",2014-11-19 09:27:00,"King St Metro",2014-11-19 09:32:00,"King St & Patrick St","W21524","Registered"
"554714","0h 25m 21s",2014-12-11 07:43:00,"Calvert St & Woodley Pl NW",2014-12-11 08:08:00,"19th & L St NW","W00579","Registered"
"344266","0h 2m 47s",2014-11-06 14:14:00,"17th & Rhode Island Ave NW",2014-11-06 14:17:00,"Thomas Circle","W00835","Registered"
"231707","0h 6m 31s",2014-10-25 12:56:00,"10th & E St NW",2014-10-25 13:03:00,"5th & K St NW","W00622","Registered"
"184100","0h 6m 15s",2014-10-19 17:29:00,"Maryland & Independence Ave SW",2014-10-19 17:36:00,"4th & E St SW","W20666","Registered"
"464944","0h 25m 30s",2014-11-23 13:09:00,"18th St & Wyoming Ave NW",2014-11-23 13:35:00,"Harvard St & Adams Mill Rd NW","W00698","Registered"
"463236","0h 14m 35s",2014-11-23 09:21:00,"D St & Maryland Ave NE",2014-11-23 09:36:00,"Maryland & Independence Ave SW","W00237","Casual"
"20904","0h 3m 33s",2014-10-02 20:01:00,"Wilson Blvd & N Uhle St",2014-10-02 20:05:00,"N Veitch  & 20th St N","W20336","Registered"
"51527","0h 17m 59s",2014-10-05 17:18:00,"10th & Florida Ave NW",2014-10-05 17:36:00,"M St & Pennsylvania Ave NW","W00275","Registered"
"60916","0h 21m 38s",2014-10-06 17:28:00,"M St & New Jersey Ave SE",2014-10-06 17:50:00,"Eastern Market Metro / Pennsylvania Ave & 7th St SE","W20447","Casual"
"282419","0h 4m 50s",2014-10-30 07:52:00,"Columbia Rd & Belmont St NW",2014-10-30 07:56:00,"15th & Euclid St  NW","W00542","Registered"
